CaptureID,Identity,Date,Time,Processors,Capture_method,Location,Lat,Long,Weight,Condition,Harnessing,PTTID,Wing,Tail,Bill,Head-bill,Tarsus,Moult_left,Moult_right,DNA_taken,Process_time,Notes
214,Aurora,12/12/2022,10:20,SR,Hand,MR Zone 1,-37.900276,144.435012,730,Good,N,,,,,,,,,N,16,Post-release health check. Tarsus measurements taken. Beak clacking in hand. Fitted ABBBS band on right because left distal tarsus swollen. Caught while in camouflage posture.
215,Robin,12/12/2022,12:01,SR,Hand,MR Zone 2,-37.894673,144.444603,685,Good,N,,,,,,,,,N,12,Post-release health check. Tarsus measurements taken. Caught while posturing. First flush bird did an angry display with puffed chest and yelling. On release ran and did 5m burst of flight across open area but achieved no lift.
216,Nutmeg,12/12/2022,12:31,SR,Hand,MR Zone 2,-37.894468,144.443165,695,Good,N,216472,,,,,,,,N,6,Caught again to glue fraying strands on back of harness. Released downhill of where caught to avoid open area. Caught when in camouflage posture under a tree.
217,Nina,13/12/2022,17:48,SR,Hand,MR Aviary,,,745,Good,N,,,,,,,,,Y,4,DNA for Andrew Weeks
218,Frank,13/12/2022,17:53,SR,Hand,MR Aviary,,,790,Excellent,N,,,,,,,,,Y,4,DNA for Andrew Weeks. Was incubating when caught- screamed.
219,River,13/12/2022,11:15,SR,Hand,MR Aviary,,,535,Fair,N,,,,,,,,,Y,8,DNA for Andrew Weeks. 1st clutch offspring 2022 of Nina and Frank. Moved from pen 15 to pen 22
220,Dusk,13/12/2022,11:25,SR,Hand,MR Aviary,,,510,Good,N,,,,,,,,,Y,4,DNA for Andrew Weeks. 1st clutch offspring 2022 of Sandi and Andy. Had already been moved from pen 11 to pen 25
221,Prem,13/12/2022,17:03,SR,Hand,MR Aviary,,,600,Excellent,Y,214393,,,,,,5-8 2-1 0-1,5-8 2-1 0-1,N,15,Primaries trimmed for release. Calm in hand. Tarsus measurements taken.
222,Draco,13/12/2022,17:27,SR,Hand,MR Aviary,,,840,Excellent,N,,,,,,,,,N,5,DNA for Andrew Weeks. Note: identity uncertain but most likely Draco rather than Juniper. Bands were Orange-White. Quiet in hand and flighty on release
223,Petal,13/12/2022,17:33,SR,Hand,MR Aviary,,,675,Good,N,,,,,,,,,N,5,DNA for Andrew Weeks. Calm in hand.
224,Juniper,13/12/2022,17:39,SR,Hand,MR Aviary,,,710,Good,N,,,,,,,,,N,5,DNA for Andrew Weeks. Note: identity uncertain but most likely Juniper rather than Draco. Band White(right). Bit of fight.
225,Clover,13/12/2022,11:47,SR,Hand,MR Aviary,,,650,Good,N,,,,,,,,,N,8,Tarsus measurements taken. Consider for release.
226,Koda,13/12/2022,12:01,SR,Hand,MR Aviary,,,750,Excellent,Y,216469,,,,,,,,N,21,Primaries trimmed for release. Fiesty. ABBBS fitted on left because of old injury on right. Large bodied bird.
227,Rove,13/12/2022,16:37,SR,Hand,MR Aviary,,,640,Good,Y,214384,,,,,,5-6 2-1 0-3,5-6 2-1 0-3,N,21,Primaries trimmed for release. Quiet in hand. Tarsus measurements taken.
228,Avery,13/12/2022,10:58,SR,Hand,MR Aviary,,,740,Good,N,,,,,,,,,Y,8,DNA for Andrew Weeks. 1st clutch offspring 2022 of Moonlight and Lavender. Moved from Pen 13 to pen 12.
229,Rocky,13/12/2022,11:25,SR,Hand,MR Aviary,,,635,Good,N,,,,,,,,,N,4,Tarsus measurements taken. Consider for release.
230,Kit,13/12/2022,11:35,SR,Hand,MR Aviary,,,595,Good,N,,,,,,,,,N,9,Tarsus measurements taken. Size 11 band fitted. Too small to release.
231,Andy,13/12/2022,9:30,SR,Hand,MR Aviary,,,760,Good,N,,,,,,,,,Y,4,DNA for Andrew Weeks.
232,Sandi,13/12/2022,9:35,SR,Hand,MR Aviary,,,675,Good,N,,,,,,,,,Y,5,DNA for Andrew Weeks.
233,Riley,13/12/2022,10:20,SR,Hand,MR Aviary,,,,,,,,,,,,,,Y,2,DNA for Andrew Weeks. Chick still with parents.
234,Fern,13/12/2022,9:51,SR,Hand,MR Aviary,,,550,Good,N,,,,,,,,,N,8,Tarsus measurements taken. Size 10 band fitted. Too small to release.
235,Lavender,13/12/2022,10:46,SR,Hand,MR Aviary,,,680,Good,N,,,,,,,,,Y,5,DNA for Andrew Weeks. Tarsus measurements taken.
236,Sutton,13/12/2022,10:07,SR,Hand,MR Aviary,,,680,Good,N,,,,,,,,,Y,7,"DNA for Andrew Weeks. Tarsus measurements taken. Lost toenail on right foot and toe swollen. Pre-existing clots still present, but some healed."
237,Zoe,13/12/2022,10:15,SR,Hand,MR Aviary,,,830,Excellent,N,,,,,,,,,Y,7,DNA for Andrew Weeks. Tarsus measurements taken. Very fiesty. Swollen around tibio tarsal joint so not measured (due to pre-existing clot injury).
