"date","id","mean","max","min","release"
2022-11-13,"Nutmeg",1279.91702929163,1390.90768377393,931.538025085759,"October"
2022-11-13,"Robin",1264.63782682428,1422.1540840479,758.726400214888,"October"
2022-11-14,"Aurora",86.5991021622052,1071.41641770543,7.66098971766534,"October"
2022-11-14,"Briar",1227.96845172679,1397.14544696323,815.275551523124,"October"
2022-11-14,"Nutmeg",1308.18165233969,1390.97612904358,1172.3654299683,"October"
2022-11-14,"Robin",1269.32414925679,1384.41890495692,748.843715420416,"October"
2022-11-15,"Aurora",128.802890797047,535.611170021733,3.92860232579235,"October"
2022-11-15,"Briar",1222.78508839818,1396.62449116579,800.184384271546,"October"
2022-11-15,"Nutmeg",1245.51212066035,1451.63889431819,937.83902210801,"October"
2022-11-15,"Robin",1302.49922285474,1379.90265529338,1188.18709303591,"October"
