"dist","bird","date","release"
16.3062153280981,"Aurora",2022-12-26,"October"
10.2194171146034,"Aurora",2022-12-27,"October"
7.36009414887851,"Aurora",2022-12-28,"October"
11.4266309172141,"Aurora",2022-12-29,"October"
9.6911401448864,"Aurora",2022-12-30,"October"
10.3992492296954,"Aurora",2022-12-31,"October"
9.23591153956496,"Aurora",2023-01-01,"October"
9.37609637010783,"Aurora",2023-01-02,"October"
10.6426586600195,"Aurora",2023-01-03,"October"
11.6097256068669,"Aurora",2023-01-04,"October"
12.9968381142502,"Aurora",2023-01-05,"October"
19.5256674969229,"Aurora",2023-01-06,"October"
12.1008770314743,"Aurora",2023-01-07,"October"
9.27835152151267,"Aurora",2023-01-08,"October"
17.9315160879585,"Aurora",2023-01-09,"October"
13.0377540662689,"Aurora",2023-01-10,"October"
9.56494060680888,"Aurora",2023-01-11,"October"
13.8187724184666,"Aurora",2023-01-12,"October"
11.2086089603584,"Aurora",2023-01-13,"October"
10.3022293457866,"Aurora",2023-01-14,"October"
12.9715487089299,"Aurora",2023-01-15,"October"
10.0484887142176,"Aurora",2023-01-16,"October"
9.72713121159497,"Aurora",2023-01-17,"October"
11.1668681392994,"Aurora",2023-01-18,"October"
8.69813177000452,"Aurora",2023-01-19,"October"
11.8413952450789,"Aurora",2023-01-20,"October"
10.1148418173079,"Aurora",2023-01-21,"October"
12.4645632559463,"Aurora",2023-01-22,"October"
21.216852417975,"Aurora",2023-01-23,"October"
8.196184895144,"Aurora",2023-01-24,"October"
9.78734515070056,"Aurora",2023-01-25,"October"
15.7956770137389,"Aurora",2023-01-26,"October"
9.61265570954342,"Aurora",2023-01-27,"October"
9.22154373763417,"Aurora",2023-01-28,"October"
8.51526382940272,"Aurora",2023-01-29,"October"
10.024867001747,"Aurora",2023-01-30,"October"
8.27928242200153,"Aurora",2023-01-31,"October"
9.53540766578324,"Aurora",2023-02-01,"October"
10.158922101895,"Aurora",2023-02-02,"October"
12.1370622810367,"Aurora",2023-02-03,"October"
11.1718282482947,"Aurora",2023-02-04,"October"
11.226747577466,"Aurora",2023-02-05,"October"
15.7182778591874,"Aurora",2023-02-06,"October"
12.2038730565435,"Aurora",2023-02-07,"October"
9.84750863123683,"Aurora",2023-02-08,"October"
9.55123745686821,"Aurora",2023-02-09,"October"
11.3687477320121,"Aurora",2023-02-10,"October"
7.5991132875249,"Aurora",2023-02-11,"October"
12.2361564835979,"Aurora",2023-02-12,"October"
9.80612103705402,"Aurora",2023-02-13,"October"
11.1116794098672,"Aurora",2023-02-14,"October"
8.94774314640585,"Aurora",2023-02-15,"October"
8.16336287342828,"Aurora",2023-02-16,"October"
10.3506725170491,"Aurora",2023-02-17,"October"
9.14976046409906,"Aurora",2023-02-18,"October"
9.79463489714102,"Aurora",2023-02-19,"October"
9.59175577766447,"Aurora",2023-02-20,"October"
9.56835046495723,"Aurora",2023-02-21,"October"
6.64284956768823,"Aurora",2023-02-22,"October"
9.34325945054472,"Aurora",2023-02-23,"October"
11.2966989961802,"Aurora",2023-02-24,"October"
8.43379222726009,"Aurora",2023-02-25,"October"
8.61229588322194,"Aurora",2023-02-26,"October"
7.10072185003454,"Aurora",2023-02-27,"October"
9.63222437481575,"Aurora",2023-02-28,"October"
9.71960080204047,"Aurora",2023-03-01,"October"
7.46272480939584,"Aurora",2023-03-02,"October"
12.6940904715405,"Aurora",2023-03-03,"October"
11.4324790893813,"Aurora",2023-03-04,"October"
9.04516817873706,"Aurora",2023-03-05,"October"
10.6775876825406,"Aurora",2023-03-06,"October"
12.704246643408,"Aurora",2023-03-07,"October"
16.8163358674907,"Aurora",2023-03-08,"October"
11.076642404579,"Aurora",2023-03-09,"October"
9.51744739074272,"Aurora",2023-03-10,"October"
13.1347038035852,"Aurora",2023-03-11,"October"
1.53531349724478,"Aurora",2022-10-25,"October"
5.41414783655333,"Aurora",2022-10-26,"October"
6.22304932552773,"Aurora",2022-10-27,"October"
5.64787428878857,"Aurora",2022-10-28,"October"
13.3918934517846,"Aurora",2023-03-12,"October"
18.4791713363677,"Aurora",2023-03-13,"October"
8.23677508327475,"Aurora",2023-03-14,"October"
8.79019158506413,"Aurora",2023-03-15,"October"
11.2273923082625,"Aurora",2023-03-16,"October"
9.8998023517829,"Aurora",2023-03-17,"October"
9.78115693288211,"Aurora",2023-03-18,"October"
10.4245243686602,"Aurora",2023-03-19,"October"
16.0969158353176,"Aurora",2023-03-20,"October"
8.95131177722505,"Aurora",2023-03-21,"October"
7.62178682158898,"Aurora",2023-03-22,"October"
9.68393996319573,"Aurora",2023-03-23,"October"
11.856971154576,"Aurora",2023-03-24,"October"
9.36751523870888,"Aurora",2023-03-25,"October"
11.0044758711647,"Aurora",2023-03-26,"October"
11.5595790581434,"Aurora",2023-03-27,"October"
7.31593059761872,"Aurora",2023-03-28,"October"
9.12459732251121,"Aurora",2023-03-29,"October"
9.62183813428264,"Aurora",2023-03-30,"October"
